Fund name,category,aum_rs_cr,1_w_pr
Nippon India Balanced Advantage Fund,Dynamic/Asset Allocation,3722.21,1.26
Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,1.65
Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,1.73
ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,1.68
Nippon India ETF Nifty IT,ETF-Others,706.66,2.62
Nippon India ETF PSU Bank BeES,ETF-Others,278.74,-0.31
Kotak PSU Bank ETF,ETF-Others,137.38,-0.27
ICICI Prudential Midcap Select ETF,ETF-Others,28.38,0.78
Edelweiss ETF - Nifty Bank,ETF-Others,1.31,1.93
ICICI Prudential Bank ETF,ETF-Others,2453.43,1.93
SBI ETF Nifty Bank,ETF-Others,4257.91,1.93
HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,3.12
UTI CCF - Investment Plan,Speciality-Child Care,504.4,1.88
Tata Young Citizens Fund,Speciality-Child Care,249.93,1.9
                            Nippon India Retirement Fund - Wealth Cr...                        ,Speciality-Pension Plan,2106.56,1.94
                            HDFC Retirement Savings Fund - Hybrid - ...                        ,Speciality-Pension Plan,649.89,2.46
                            ICICI Prudential Retirement Fund - Pure ...                        ,Speciality-Pension Plan,101.4,2.08
LIC MF Unit Linked Insurance scheme,Speciality-ULIP,376.98,0.74
                            Tata Retirement Savings Fund - Progressi...                        ,Speciality-Pension Plan,1088.72,1.51
Axis Childrens Gift Fund,Speciality-Child Care,622.22,1.48
                            ICICI Prudential Retirement Fund - Hybri...                        ,Speciality-Pension Plan,111.96,1.49
                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,1.82
ICICI Prudential India Equity FOF,Fund of Funds-Domestic,32.58,2.02
ICICI Prudential Bharat 22 FOF,Fund of Funds-Domestic,36.6,2.19
                            ICICI Prudential Passive Strategy Fund (...                        ,Fund of Funds-Domestic,81.9,1.35
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,13.93,1.44
Quantum Equity FoF,Fund of Funds-Domestic,69.02,1.58
Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,0.42
PRINCIPAL Global Opportunities Fund,Fund of Funds-Overseas,35.0,1.26
HSBC Managed Solutions India - Growth,Fund of Funds-Domestic,42.15,1.54
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,6.04,1.05
