Fund name,category,aum_rs_cr,5_y_pr
Nippon India ETF Nifty IT,ETF-Others,706.66,--
Nippon India ETF PSU Bank BeES,ETF-Others,278.74,-4.28
Kotak PSU Bank ETF,ETF-Others,137.38,-4.36
ICICI Prudential Midcap Select ETF,ETF-Others,28.38,12.96
SBI ETF Sensex Next 50,ETF-Others,5.74,--
                            UTI S&P BSE Sensex Next 50 Exchange Trad...                        ,ETF-Others,7.86,--
ICICI Prudential Bharat 22 ETF,ETF-Others,7577.85,--
HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,16.51
UTI CCF - Investment Plan,Speciality-Child Care,504.4,14.46
Tata Young Citizens Fund,Speciality-Child Care,249.93,11.23
                            ICICI Prudential Retirement Fund - Pure ...                        ,Speciality-Pension Plan,101.4,--
                            Nippon India Retirement Fund - Wealth Cr...                        ,Speciality-Pension Plan,2106.56,8.91
                            HDFC Retirement Savings Fund - Hybrid - ...                        ,Speciality-Pension Plan,649.89,14.45
LIC MF Unit Linked Insurance scheme,Speciality-ULIP,376.98,10.80
                            Tata Retirement Savings Fund - Progressi...                        ,Speciality-Pension Plan,1088.72,14.23
Axis Childrens Gift Fund,Speciality-Child Care,622.22,11.69
                            Axis Retirement Savings Fund - Aggressiv...                        ,Speciality-Pension Plan,611.06,--
                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,15.81
ICICI Prudential India Equity FOF,Fund of Funds-Domestic,32.58,--
ICICI Prudential Bharat 22 FOF,Fund of Funds-Domestic,36.6,--
                            ICICI Prudential Passive Strategy Fund (...                        ,Fund of Funds-Domestic,81.9,12.10
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,13.93,10.16
Quantum Equity FoF,Fund of Funds-Domestic,69.02,12.97
PRINCIPAL Global Opportunities Fund,Fund of Funds-Overseas,35.0,15.82
Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,--
HSBC Managed Solutions India - Growth,Fund of Funds-Domestic,42.15,12.34
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,6.04,8.44
