Fund name,category,aum_rs_cr,6_m_pr
SBI ETF Sensex Next 50,ETF-Others,5.74,14.19
                            UTI S&P BSE Sensex Next 50 Exchange Trad...                        ,ETF-Others,7.86,14.13
ICICI Prudential Bharat 22 ETF,ETF-Others,7577.85,18.19
HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,26.24
UTI CCF - Investment Plan,Speciality-Child Care,504.4,12.88
Tata Young Citizens Fund,Speciality-Child Care,249.93,14.18
                            ICICI Prudential Retirement Fund - Pure ...                        ,Speciality-Pension Plan,101.4,10.1
                            Nippon India Retirement Fund - Wealth Cr...                        ,Speciality-Pension Plan,2106.56,12.51
                            HDFC Retirement Savings Fund - Hybrid - ...                        ,Speciality-Pension Plan,649.89,15.29
LIC MF Unit Linked Insurance scheme,Speciality-ULIP,376.98,10.3
                            Tata Retirement Savings Fund - Progressi...                        ,Speciality-Pension Plan,1088.72,8.53
Axis Childrens Gift Fund,Speciality-Child Care,622.22,10.49
                            Axis Retirement Savings Fund - Aggressiv...                        ,Speciality-Pension Plan,611.06,9.69
                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,22.69
ICICI Prudential India Equity FOF,Fund of Funds-Domestic,32.58,21.54
ICICI Prudential Bharat 22 FOF,Fund of Funds-Domestic,36.6,17.65
                            ICICI Prudential Passive Strategy Fund (...                        ,Fund of Funds-Domestic,81.9,12.32
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,13.93,16.48
Quantum Equity FoF,Fund of Funds-Domestic,69.02,12.98
PRINCIPAL Global Opportunities Fund,Fund of Funds-Overseas,35.0,14.77
Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,14.37
HSBC Managed Solutions India - Growth,Fund of Funds-Domestic,42.15,11.43
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,6.04,18.77
