Fund name,category,aum_rs_cr,1_y_pr
                            IDFC Government Securities Fund Investme...                        ,Gilt-Long Term,1968.55,2.85
Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,82.15
HDFC Balanced Advantage Fund,Dynamic/Asset Allocation,41796.27,47.53
ICICI Prudential Multi-Asset Fund,Dynamic/Asset Allocation,11676.83,40.07
Edelweiss Aggressive Hybrid Fund,Dynamic/Asset Allocation,56.65,39.74
Tata Multi Asset Opportunities Fund,Dynamic/Asset Allocation,792.59,36.76
Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,35.18
Edelweiss Balanced Advantage Fund,Dynamic/Asset Allocation,4308.73,30.19
Nippon India Balanced Advantage Fund,Dynamic/Asset Allocation,3722.21,28.72
                            Nippon India Capital Protection Oriented...                        ,Dynamic/Asset Allocation,36.26,28.59
Baroda Dynamic Equity Fund,Dynamic/Asset Allocation,1248.07,27.69
Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,76.82
Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,76.22
ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,75.85
Nippon India ETF Nifty IT,ETF-Others,706.66,71.74
Nippon India ETF PSU Bank BeES,ETF-Others,278.74,64.8
Kotak PSU Bank ETF,ETF-Others,137.38,64.61
ICICI Prudential Midcap Select ETF,ETF-Others,28.38,62.41
SBI ETF Sensex Next 50,ETF-Others,5.74,55.94
                            UTI S&P BSE Sensex Next 50 Exchange Trad...                        ,ETF-Others,7.86,55.8
ICICI Prudential Bharat 22 ETF,ETF-Others,7577.85,55.5
HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,67.52
UTI CCF - Investment Plan,Speciality-Child Care,504.4,53.7
Tata Young Citizens Fund,Speciality-Child Care,249.93,48.8
                            ICICI Prudential Retirement Fund - Pure ...                        ,Speciality-Pension Plan,101.4,46.56
                            Nippon India Retirement Fund - Wealth Cr...                        ,Speciality-Pension Plan,2106.56,46.16
                            HDFC Retirement Savings Fund - Hybrid - ...                        ,Speciality-Pension Plan,649.89,44.95
LIC MF Unit Linked Insurance scheme,Speciality-ULIP,376.98,39.28
                            Tata Retirement Savings Fund - Progressi...                        ,Speciality-Pension Plan,1088.72,37.07
Axis Childrens Gift Fund,Speciality-Child Care,622.22,35.77
                            Axis Retirement Savings Fund - Aggressiv...                        ,Speciality-Pension Plan,611.06,34.66
                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,68.76
ICICI Prudential India Equity FOF,Fund of Funds-Domestic,32.58,63.46
ICICI Prudential Bharat 22 FOF,Fund of Funds-Domestic,36.6,54.81
                            ICICI Prudential Passive Strategy Fund (...                        ,Fund of Funds-Domestic,81.9,52.17
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,13.93,51.53
Quantum Equity FoF,Fund of Funds-Domestic,69.02,47.86
PRINCIPAL Global Opportunities Fund,Fund of Funds-Overseas,35.0,46.61
Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,46.13
HSBC Managed Solutions India - Growth,Fund of Funds-Domestic,42.15,43.84
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,6.04,43.78
