,Fund name,category,aum_rs_cr,1_w_pr,1_m_pr,3_m_pr,6_m_pr,1_y_pr,3_y_pr,5_y_pr
57,Nippon India Balanced Advantage Fund,Dynamic/Asset Allocation,3722.21,-0.04,1.62,8.38,9.54,28.2,11.01,11.19
58,                            Nippon India Capital Protection Oriented...                        ,Dynamic/Asset Allocation,36.26,-1.12,-0.6,7.55,5.68,27.67,--,--
59,Baroda Dynamic Equity Fund,Dynamic/Asset Allocation,1248.07,-0.07,1.88,5.86,5.71,26.6,--,--
60,Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,-1.35,2.28,16.64,24.94,76.86,--,--
61,Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,-1.39,2.07,16.95,24.22,76.33,15.26,13.84
62,ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,-1.33,2.32,16.76,25.02,75.85,--,--
63,Nippon India ETF Nifty IT,ETF-Others,706.66,-0.25,3.21,13.69,11.25,71.84,--,--
64,ICICI Prudential Midcap Select ETF,ETF-Others,28.38,-0.72,3.18,13.41,14.53,63.6,13.74,12.96
65,Nippon India ETF PSU Bank BeES,ETF-Others,278.74,-3.72,-3.63,22.83,24.26,61.65,-5.69,-3.73
66,Kotak PSU Bank ETF,ETF-Others,137.38,-3.72,-3.6,22.84,24.5,61.46,-5.86,-3.81
67,SBI ETF Sensex Next 50,ETF-Others,5.74,-0.79,1.06,13.25,15.19,55.88,--,--
68,                            UTI S&P BSE Sensex Next 50 Exchange Trad...                        ,ETF-Others,7.86,-0.79,1.05,13.23,15.13,55.74,--,--
69,Nippon India ETF Sensex Next 50,ETF-Others,17.04,-0.79,1.04,13.18,15.09,55.33,--,--
70,HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,-0.34,4.31,21.63,26.61,66.4,17.95,16.61
71,UTI CCF - Investment Plan,Speciality-Child Care,504.4,-1.23,2.85,14.46,13.65,52.68,13.17,14.56
72,Tata Young Citizens Fund,Speciality-Child Care,249.93,-0.77,1.21,12.66,15.03,48.05,12.83,11.26
73,                            ICICI Prudential Retirement Fund - Pure ...                        ,Speciality-Pension Plan,101.4,1.17,3.9,12.97,11.33,45.94,--,--
74,                            Nippon India Retirement Fund - Wealth Cr...                        ,Speciality-Pension Plan,2106.56,-0.81,1.72,12.72,13.31,44.84,6.61,9.00
75,                            HDFC Retirement Savings Fund - Hybrid - ...                        ,Speciality-Pension Plan,649.89,-0.34,2.37,12.75,15.18,44.13,15.00,14.54
76,LIC MF Unit Linked Insurance scheme,Speciality-ULIP,376.98,-0.95,1.42,10.43,10.54,38.98,10.93,10.88
77,                            Tata Retirement Savings Fund - Progressi...                        ,Speciality-Pension Plan,1088.72,-0.73,0.56,10.97,9.0,36.27,11.19,14.28
78,Axis Childrens Gift Fund,Speciality-Child Care,622.22,-0.14,2.65,10.88,10.78,35.1,12.63,11.72
79,                            Axis Retirement Savings Fund - Aggressiv...                        ,Speciality-Pension Plan,611.06,-0.39,1.57,10.26,9.69,34.62,--,--
80,                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,-1.33,1.57,17.04,24.58,68.02,17.41,15.82
81,ICICI Prudential India Equity FOF,Fund of Funds-Domestic,32.58,-1.44,1.74,16.7,22.84,61.82,--,--
82,                            ICICI Prudential Passive Strategy Fund (...                        ,Fund of Funds-Domestic,81.9,-1.17,0.32,11.53,12.38,50.48,11.50,12.17
83,ICICI Prudential Bharat 22 FOF,Fund of Funds-Domestic,36.6,-0.94,1.7,17.19,18.64,50.37,5.74,--
84,                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,13.93,-0.94,1.63,12.72,17.23,50.12,11.02,10.21
85,Quantum Equity FoF,Fund of Funds-Domestic,69.02,-0.86,2.35,13.11,13.56,46.95,13.47,13.09
86,Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,-0.42,0.46,13.13,15.14,46.03,--,--
87,PRINCIPAL Global Opportunities Fund,Fund of Funds-Overseas,35.0,-1.63,2.01,0.14,13.19,45.29,14.19,15.64
88,                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,6.04,-0.48,1.99,11.34,19.29,42.87,8.49,8.47
89,HSBC Managed Solutions India - Growth,Fund of Funds-Domestic,42.15,-0.51,1.88,11.81,10.98,41.97,12.29,12.28
